index,link,body
10,https://ottogi.co.kr/product/product_view.asp?page=2&hcode=&mcode=&stxt=&orderby=BEST&idx=2029,전문점에서 후식으로만 즐길 수 있었던지글지글 철판에 갓 볶은듯한 누룽지가 들어있는!고소한 들깨 풍미가 가득한 철판 감자탕볶음밥
11,https://ottogi.co.kr/product/product_view.asp?page=2&hcode=&mcode=&stxt=&orderby=BEST&idx=2130,"- 배/사과/매실/무의 새콤달콤한 맛, 태양초의 매운맛, 타마린드양념소스의 시원 새콤한 맛이 잘 어우러진 진비빔면입니다.- 한 개는 부족하고 두 개는 많은 비빔면, 진비빔면으로 20% 더욱 푸짐하게 즐기세요!- 볶음참깨, 구운김의 별첨스프가 들어있어, 더욱 고소하게 즐기실 수 있습니다."
12,https://ottogi.co.kr/product/product_view.asp?page=2&hcode=&mcode=&stxt=&orderby=BEST&idx=2066,"-레프리노사의 자연치즈만으로 만들어 쫀득한 치즈 풍미가 가득한 치즈스틱!-에어프라이어로 더욱 간편하게, 유탕처리로 오일 스프레이 없이 간편하게 조리 가능.-아이들이 좋아하는 치즈 간식부터 시원한 맥주와 함께 최고의 안주까지!"
13,https://ottogi.co.kr/product/product_view.asp?page=2&hcode=&mcode=&stxt=&orderby=BEST&idx=2413,1. 기존 자사 물냉면 대비 면 증량 20% UP!2. 담백한 고기고명을 별첨하여 더욱 푸짐하게!3. 아삭하고 상큼한 무절임 별첨.
14,https://ottogi.co.kr/product/product_view.asp?page=2&hcode=&mcode=&stxt=&orderby=BEST&idx=2137,"라조장은 신선한 기름에 산초, 고추 등을 볶아 만든 중화풍 고추기름소스입니다.볶음밥, 볶음면 요리에 한 큰술 넣고 볶아 중화풍 풍미를 더해보세요!  * 닭튀김에 한 큰술 넣고 볶아 간편하게 깐풍기를 완성해보세요. * 볶음밥, 볶음면 요리에 한 큰술 넣고 볶아 중화풍 풍미를 더해보세요. * 만두, 튀김류 딥핑소스로 사천의 얼얼한 맛을 즐겨보세요."
15,https://ottogi.co.kr/product/product_view.asp?page=2&hcode=&mcode=&stxt=&orderby=BEST&idx=2138,"라조장은 신선한 기름에 산초, 고추 등을 볶아 만든 중화풍 고추기름소스입니다.볶음밥, 볶음면 요리에 한 큰술 넣고 볶아 중화풍 풍미를 더해보세요!  * 닭튀김에 한 큰술 넣고 볶아 간편하게 깐풍기를 완성해보세요. * 볶음밥, 볶음면 요리에 한 큰술 넣고 볶아 중화풍 풍미를 더해보세요. * 만두, 튀김류 딥핑소스로 양파의 달큰한 감칠맛을 즐겨보세요."
16,https://ottogi.co.kr/product/product_view.asp?page=2&hcode=&mcode=&stxt=&orderby=BEST&idx=2146," - 먹을 만큼만 뚝딱, 김장이 즐거워지는 시간! 손쉽게 장인의 손맛으로 바꿔주는 기적의 무침양념!- 한국인의 힘은 밥심에서, 밥심은 반찬에서 나오니까! 각종 무침을 빠르게, 간편하게, 맛있게!- 기본 3가지 이상 무침 반찬을 만들 수 있어 활용도가 높아요!- 멸치액젓에 국산 채소를 듬뿍 갈아 넣어 맛있는 바로 무쳐먹는 겉절이양념!"
17,https://ottogi.co.kr/product/product_view.asp?page=2&hcode=&mcode=&stxt=&orderby=BEST&idx=2043,"부드럽고 쫄깃한 만두피, 만두소에 통새우와 홍게살을 듬뿍 넣고 XO소스를 더해 풍부한 해물맛과 식감을 살린 프리미엄 교자"
18,https://ottogi.co.kr/product/product_view.asp?page=2&hcode=&mcode=&stxt=&orderby=BEST&idx=2058,상큼한 자몽과 은은한 홍차의 조화
19,https://ottogi.co.kr/product/product_view.asp?page=2&hcode=&mcode=&stxt=&orderby=BEST&idx=2158,"바삭한 식빵 사이를 통통한 새우살로 두껍게 채운 멘보샤에어프라이어 조리법 적용으로 더욱 간편하게!아이들 간식으로도, 맥주 안주로도 어디에나 찰떡궁합!"
20,https://ottogi.co.kr/product/product_view.asp?page=3&hcode=&mcode=&stxt=&orderby=BEST&idx=2092,"- 새콤한 토마토 케챂과 신선한 국산 야채(양파, 당근, 마늘)을 직접 갈아넣은 매콤달콤한 양념치킨소스임.- 후라이드치킨, 너겟 등 각종 튀김요리용 딥핑소스로 활용하면 좋으며, 최근 SNS에서 유행하는 소떡소떡, 닭껍질튀김, 닭똥집튀김에 찍어 먹어도 잘 어울림."
21,https://ottogi.co.kr/product/product_view.asp?page=3&hcode=&mcode=&stxt=&orderby=BEST&idx=2152,"- 부-어먹는 1984 특제소스- 대용량으로 넉넉하게 즐길 수 있는 제품- 버터와 사과퓨레로 더 부드럽고 깊어진 풍미, 입안 가득 퍼지는 노스텔지아1. 뉴질랜드산 쇠고기로 정성들여 우려낸 육수2. 우스타소스로 더욱 부드럽고 풍부한 맛과 향3. 적포도주와 천연 향신료가 펼치는 맛의 축제- 1984년부터 돈까스소스를 만든 기업이 선사하는 추억 여행, 전문 경양식 집에서 한껏 차려입고 먹던 데미글라스 타입의 부어먹는 돈까스소스를 즐겨보세요.- 용도 : 돈까스, 각종 커틀렛 및 볶음밥, 오므라이스 소스 용"
22,https://ottogi.co.kr/product/product_view.asp?page=3&hcode=&mcode=&stxt=&orderby=BEST&idx=2153,겨자씨가 톡톡! 식감까지 살린 홀그레인 머스타드 소스대용량으로 넉넉하게 즐길 수 있는 제품
23,https://ottogi.co.kr/product/product_view.asp?page=3&hcode=&mcode=&stxt=&orderby=BEST&idx=2199,"“오뚜기의 숨겨진 라면비법”라면비책은 오뚜기만의 라면비법으로 정성스럽게 만든 푸짐하고 맛있는 라면 브랜드입니다.하나. 깊/고/진/한/맛 - 좋은 재료로 우려낸 전문점 수준의 깊은 국물맛!둘. 풍/부/한/건/더/기- 큼지막한 건더기로부터 느낄 수 있는 살아있는 식감!셋. 영/양/생/각 - 단백질 14 g, 식이섬유 8 g, 칼슘 155 mg으로 영양까지 생각!"
24,https://ottogi.co.kr/product/product_view.asp?page=3&hcode=&mcode=&stxt=&orderby=BEST&idx=2212,"拉麵秘策(라면비책)은 오뚜기만의 라면비법으로 정성스럽게 만든 푸짐하고 맛있는 라면 브랜드 입니다. 큼지막한 돼지고기와 화끈한 불맛, 얼큰한 짬뽕 국물로 맛과 영양을 제대로 담았다깊고진한맛: 진한 고기육수에 불맛을 더한 깊고 얼큰한 짬뽕국물!풍부한건더기: 큼지막한 건더기로부터 느낄 수 있는 살아있는 식감!영양생각: 단백질 14g, 식이섬유 7g, 칼슘 150mg으로 영양까지 생각!"
25,https://ottogi.co.kr/product/product_view.asp?page=3&hcode=&mcode=&stxt=&orderby=BEST&idx=2215,"나트륨은 줄이고, 칼슘은 200 mg 함유된 저염죽기존 자사 용기죽 대비 적은 용량(215g)부드러운 사골베이스와 호박, 버섯 식감의 조화"
26,https://ottogi.co.kr/product/product_view.asp?page=3&hcode=&mcode=&stxt=&orderby=BEST&idx=2216,"나트륨은 줄이고, 칼슘은 200 mg 함유된 저염죽기존 자사 용기죽 대비 적은 용량(215g)부드럽고 달콤한 밤과 단호박이 가득!"
27,https://ottogi.co.kr/product/product_view.asp?page=3&hcode=&mcode=&stxt=&orderby=BEST&idx=2217,"나트륨은 줄이고, 칼슘은 200 mg 함유된 저염죽기존 자사 용기죽 대비 적은 용량(215g)다섯 가지 건강한 뿌리채소가 가득!"
28,https://ottogi.co.kr/product/product_view.asp?page=3&hcode=&mcode=&stxt=&orderby=BEST&idx=2218,"증기배출파우치로 안전하고 더욱 맛있는 조리가 가능!채를 썰은 돼지고기,오징어,죽순,팽이버섯,양송이버섯,표고버섯 등 6가지의 풍성한 재료가 가득!"
29,https://ottogi.co.kr/product/product_view.asp?page=3&hcode=&mcode=&stxt=&orderby=BEST&idx=2417,갓 볶은듯 진한 짜장과쫄깃탱글한 당면의 만남!이제는 짜장라면도 컵누들로 부담없이 가볍게 즐기자!
30,https://ottogi.co.kr/product/product_view.asp?page=4&hcode=&mcode=&stxt=&orderby=BEST&idx=2418,꾸덕한 로제떡볶이 소스와쫄깃탱글한 당면의 만남! 매일같이 배달시켜 먹던 K-로제 완벽재현!
31,https://ottogi.co.kr/product/product_view.asp?page=4&hcode=&mcode=&stxt=&orderby=BEST&idx=2234,"한국인 입맛에 친숙한 불고기 피자! 불고기와 불고기소스, 각종 야채와 치즈가 잘 어우러져 있습니다.1. 20시간 이상 저온에서 숙성하여 최상의 볼륨감과 유연성을 갖춘""숨쉬는 도우"" 반죽사이사이 맺힌 기공이 선사하는 쫄깃하고 담백한 맛2. 수분을 촉촉하게 품은 생 이스트로 반죽해 더욱 깊고 진한 풍미3. 신선한 우유로 만든 자연치즈를 블랜딩하여 부드럽고 고소한 맛"
32,https://ottogi.co.kr/product/product_view.asp?page=4&hcode=&mcode=&stxt=&orderby=BEST&idx=2235,"고소한 모짜렐라 치즈와 고기, 야채가 잘 조화된 먹음직스러운 콤비네이션 피자입니다.1. 20시간 이상 저온에서 숙성하여 최상의 볼륨감과 유연성을 갖춘""숨쉬는 도우"" 반죽    사이사이 맺힌 기공이 선사하는 쫄깃하고 담백한 맛2. 수분을 촉촉하게 품은 생 이스트로 반죽해 더욱 깊고 진한 풍미 3. 신선한 우유로 만든 자연치즈를 블랜딩하여 부드럽고 고소한 맛"
33,https://ottogi.co.kr/product/product_view.asp?page=4&hcode=&mcode=&stxt=&orderby=BEST&idx=2236,"한국인 입맛에 친숙한 불고기 피자! 불고기와 불고기소스, 각종 야채와 치즈가 잘 어우러져 있습니다.1. 20시간 이상 저온에서 숙성하여 최상의 볼륨감과 유연성을 갖춘""숨쉬는 도우"" 반죽사이사이 맺힌 기공이 선사하는 쫄깃하고 담백한 맛2. 수분을 촉촉하게 품은 생 이스트로 반죽해 더욱 깊고 진한 풍미3. 신선한 우유로 만든 자연치즈를 블랜딩하여 부드럽고 고소한 맛"
34,https://ottogi.co.kr/product/product_view.asp?page=4&hcode=&mcode=&stxt=&orderby=BEST&idx=2237,고소한 햄&치즈 속에 체다치즈 소스와 베이컨 비츠가 듬뿍!
35,https://ottogi.co.kr/product/product_view.asp?page=4&hcode=&mcode=&stxt=&orderby=BEST&idx=2240,고소한 햄&치즈 속에 리치한 고르곤갈릭 소스가 듬뿍!
36,https://ottogi.co.kr/product/product_view.asp?page=4&hcode=&mcode=&stxt=&orderby=BEST&idx=2243,"<마포>의 맛을 한 그릇에 담다- 질 좋은 쇠고기를 사용하여 감칠맛 나는 고깃집 차돌된장찌개 맛을 그대로 담았습니다.- 다시마와 멸치, 양지고기로 푹 우려낸 국물에 재래된장을 풀어 더욱 진하고 구수한 맛이 일품입니다.- 차돌양지, 두부, 호박, 감자, 양파, 무, 대파를 아낌없이 넣어 더욱 풍부하게 즐길 수 있습니다.* 차돌된장찌개를 더 맛있게 즐기는 방법1. 된장죽- 오뚜기밥 1개(210g)를 넣고 5분간 끓여드세요.2. 된장국수- 소면(30g)을 삶아 넣고, 기호에 따라 파, 고추를 곁들여 드세요.3. 된장라면- 물 2/3컵(120ml)을 추가하고 된장찌개가 끓기 시작하면 오뚜기 라면사리를 넣고 추가로 3분 30초간 끓여드세요."
37,https://ottogi.co.kr/product/product_view.asp?page=4&hcode=&mcode=&stxt=&orderby=BEST&idx=2228,"진한 해물맛과 화끈한 불맛이 특징인 진짬뽕에 생크림,체다치즈,마스카포네치즈 등을 황금비율로 개발한 꾸떡꾸덕 매콤크뽕!"
38,https://ottogi.co.kr/product/product_view.asp?page=4&hcode=&mcode=&stxt=&orderby=BEST&idx=2148,"- 먹을 만큼만 뚝딱, 무침이 즐거워지는 시간! 손쉽게 장인의 손맛으로 바꿔주는 기적의 무침양념!- 한국인의 힘은 밥심에서, 밥심은 반찬에서 나오니까! 각종 무침을 빠르게, 간편하게, 맛있게!- 기본 3가지 이상 무침 반찬을 만들 수 있어 활용도가 높아요!- 오뚜기 양조식초와 매실엑기스를 넣어 새콤달콤한 바로 무쳐먹는 파채양념!"
39,https://ottogi.co.kr/product/product_view.asp?page=4&hcode=&mcode=&stxt=&orderby=BEST&idx=2229,"- 진한 해물맛과 화끈한 불맛이 특징인 진짬뽕에 생크림,체다치즈,마스카포네치즈 등을 황금비율로 개발한 꾸떡꾸덕 매콤크뽕!- 물을 버리지 않고 만드는 복작복작 조리법으로 조리가 간편하고 더 맛있습니다.- 1개 조리시 350ml, 2개 조리시 550ml~600ml"
40,https://ottogi.co.kr/product/product_view.asp?page=5&hcode=&mcode=&stxt=&orderby=BEST&idx=2172,<남도>의 맛을 한 그릇에 담다- 진한 사골국물에 엄선된 한우와 완도산 미역을 아낌없이 넣어 풍성한 한 끼 식사에 안성맞춤입니다.- 쫄쫄이 미역을 사용하여 퍼지지 않은 미역 본연의 식감을 즐길 수 있습니다.- 먹기 좋은 크기로 한우를 찢어 넣어 고기의 맛을 살렸습니다.* 쫄쫄이 미역이란?- 유속이 거친 지역에서 자라 잎이 좁고 줄기가 두꺼워 오랜 시간 끓여도 퍼지지 않고 부드러우면서 쫄깃한 식감을 유지하는 미역입니다.
41,https://ottogi.co.kr/product/product_view.asp?page=5&hcode=&mcode=&stxt=&orderby=BEST&idx=788,"속이 꽉 찬 통살새우~! 맛있는 새우 볶음밥 1) 계란 듬뿍! 영양 듬뿍!2) 오뚜기 맛있는 볶음밥은 40년 냉동 노하우를 가진 오뚜기냉동에서 직접 생산합니다.3) 1인분 기준 후라이팬 중불 3분, 전자레인지 4분(700W기준) 조리로      간편하게 즐기실 수 있습니다.4) 1인분씩 개별 포장되어 있어 조리 및 보관이 편리합니다5) 가마솥 직화방식과 개별급속냉동으로 볶음밥 고유의 맛을 살렸습니다"
42,https://ottogi.co.kr/product/product_view.asp?page=5&hcode=&mcode=&stxt=&orderby=BEST&idx=797,1. 신선한 과실을 사용하여 진한 딸기의 맛과 향이 그대로 살아있습니다. 2. 과일 알갱이가 살아있는 프리저브 형태로 아삭이는 식감이 좋을 뿐만 아니라 과일의 원형을 살리기 위해서 보다 좋은 신선한 원료만을 사용합니다.3. 합성착색료와 보존료가 들어 있지 않는 제품입니다.
43,https://ottogi.co.kr/product/product_view.asp?page=5&hcode=&mcode=&stxt=&orderby=BEST&idx=814,햇살 잘 머금은 신선한 토마토 75.5%(생물기준)로풍부한 토마토 본연의 진한 풍미 가득한 토마토 스파게티소스
44,https://ottogi.co.kr/product/product_view.asp?page=5&hcode=&mcode=&stxt=&orderby=BEST&idx=858,1. 120kcal라는 낮은 칼로리의 제품입니다.2. 맵고 칼칼한 맛을 즐길 수 있는 제품입니다.3. 콜라겐 100mg을 함유하고 있습니다.
45,https://ottogi.co.kr/product/product_view.asp?page=5&hcode=&mcode=&stxt=&orderby=BEST&idx=916,"고소한 모짜렐라 치즈와 고기, 야채가 잘 조화된 먹음직스러운 콤비네이션 피자입니다.1. 돌판오븐에 구워 만든 정통피자의 풍부한 맛! 2. 생 효모 반죽 : 살아있는 효모가 만든 깊고 진한 밀의 풍미3. 알찬 25cm : 전자레인지에 꽉 차는 25cm 크기로 푸짐하고 든든하게4. 1/4 컷팅선 : 비닐을 벗기기 전에 눌러 깔끔하게 분리 가능"
46,https://ottogi.co.kr/product/product_view.asp?page=5&hcode=&mcode=&stxt=&orderby=BEST&idx=2149,"유명한 제주 고깃집에서 먹던 바로 그 멜젓소스를 가정에서나 캠핑장에서 즐길 수 있다면?잘 다진 마늘, 청양고추, 생강 등을 함유한 고깃집 멜젓소스 그대로!<제품 컨셉>1) 남해안 생멸치로 담근 육젓을 원물 통째로 갈아 넣고 직접 우려낸 멸치육수를 사용하여 멸치 본연의 감칠맛과 풍미를 살렸습니다.2) 잘 다진 마늘, 청양고추, 생강 등의 풍부한 원물로 전문점의 맛과 외관을 재현해냈습니다. 3) 고기구이뿐만 아니라 수육 및 족발에도 잘 어울리며, 된장찌개에 넣어 먹으면 감칠맛이 더욱 살아납니다.* 청양고추와 마늘을 송송 썰어 함께 끓여드시면 더욱 맛있습니다.* 원료 특성상 분리 및 침전물이 생길 수 있으니, 사용 전 흔들어 사용하십시오."
47,https://ottogi.co.kr/product/product_view.asp?page=5&hcode=&mcode=&stxt=&orderby=BEST&idx=2213,국산 닭고기를 사용하여 쫄깃하고 부드러운 식감국내 소비자들의 입맛에 맞춘 염지로 느끼하지 않고 풍부한 맛에어프라이어로 10~15분이면 바삭함이 살아있는 치킨 
48,https://ottogi.co.kr/product/product_view.asp?page=5&hcode=&mcode=&stxt=&orderby=BEST&idx=2170,"<의정부>의 맛을 한 그릇에 담다- 의정부식 부대찌개를 모티브로 한 제품으로, 시원한 김치국물에 각종 재료가 어우러져 느끼하지 않고 깔끔한 맛이 일품입니다.- 햄, 소시지, 김치, 두부가 듬뿍 들어있어 푸짐한 한끼 식사를 즐기실 수 있습니다.- 라면, 당면, 떡, 만두를 기호에 맞게 넣어 드시면 더욱 풍성하고 맛있게 즐기실 수 있습니다.* 부대찌개를 더 맛있게 즐기는 방법1. 라면물 2/3컵(120ml)을 추가하고 부대찌개가 끓기 시작하면 오뚜기 라면사리를 넣고 추가로 3분간 끓여드세요.2. 당면- 물 반컵(100ml)과 30분 이상 불린 오뚜기 옛날당면 30g을 추가 한 후 10분간 끓여드세요. 3. 떡- 물 반컵(100ml)을 추가하고 부대찌개가 끓기 시작하면 오뚜기 우리쌀떡국떡 15개를 넣고 4분 30초간 끓여드세요.4. 만두- 물 반컵(100ml)과 오뚜기 X.O.교자만두 4개를 넣고 10분간 끓여드세요.TIP. 기호에 따라 치즈나 콩나물을 넣어 드셔도 좋습니다."
49,https://ottogi.co.kr/product/product_view.asp?page=5&hcode=&mcode=&stxt=&orderby=BEST&idx=2296,"매콤달콤 오즈키친 비법 소스로 집에서도 맛있게, 집에서 15분이면 완성하는 기본 충실 양념치킨!100% 국산 닭고기로 신선함은 그대로, 튀김옷까지 처음부터 연구 개발하여 바삭함과 고소함이 살아있는 치킨.소스가 2개 들어있어 혼자서도 맛있게 즐기고 지퍼백으로 편하게 보관!"
50,https://ottogi.co.kr/product/product_view.asp?page=6&hcode=&mcode=&stxt=&orderby=BEST&idx=2297,"달콤짭짤 오즈키친 비법 소스로 집에서도 맛있게, 집에서 15분이면 완성하는 기본 충실 마늘간장치킨!100% 국산 닭고기로 신선함은 그대로, 튀김옷까지 처음부터 연구 개발하여 바삭함과 고소함이 살아있는 치킨.소스가 2개 들어있어 혼자서도 맛있게 즐기고 지퍼백으로 편하게 보관!"
51,https://ottogi.co.kr/product/product_view.asp?page=6&hcode=&mcode=&stxt=&orderby=BEST&idx=404,고소하고 부드러운 대한민국 1등 마요네스!진하고 고소한 맛을 즐기실수 있습니다.
52,https://ottogi.co.kr/product/product_view.asp?page=6&hcode=&mcode=&stxt=&orderby=BEST&idx=482,"1. 강황함량이 57.4% 더 증가(오뚜기카레 약간매운맛 기준)한 고급카레입니다.2. 로즈마리, 월계수잎 등 천연향신료를 잘 조화시킨 고급카레입니다.3. 최신기술의 과립형 분말로 물에 잘 녹아 조리하기 더욱 편리합니다.4. HACCP 인증"
53,https://ottogi.co.kr/product/product_view.asp?page=6&hcode=&mcode=&stxt=&orderby=BEST&idx=910,"짬뽕이 땡길때!1) 쫄깃하고 부드러운 3mm의 두꺼운 면발! 2) 해물과치킨/사골육수가 조화된 개운하고 진한 국물!3) 짬뽕에 어울리는 풍부한 건더기!   (오징어, 게맛살, 청경채, 양배추, 당근, 파, 목이버섯, 미역)"
54,https://ottogi.co.kr/product/product_view.asp?page=6&hcode=&mcode=&stxt=&orderby=BEST&idx=366,커다란 유부가 통째로 들어간 가쓰오부시의 진한 국물맛
55,https://ottogi.co.kr/product/product_view.asp?page=6&hcode=&mcode=&stxt=&orderby=BEST&idx=374,"한국인 입맛에 친숙한 불고기 피자! 불고기와 불고기소스, 각종 야채와 치즈가 잘 어우러져 있습니다.1. 돌판오븐에 구워 만든 정통피자의 풍부한 맛! 2. 생 효모 반죽 : 살아있는 효모가 만든 깊고 진한 밀의 풍미3. 알찬 25cm : 전자레인지에 꽉 차는 25cm 크기로 푸짐하고 든든하게4. 1/4 컷팅선 : 비닐을 벗기기 전에 눌러 깔끔하게 분리 가능"
56,https://ottogi.co.kr/product/product_view.asp?page=6&hcode=&mcode=&stxt=&orderby=BEST&idx=532,"3분 카레는? 오뚜기 3분 카레는 향긋한 열대지방의 천연향신료로 만든 과일소스와 국산과일로 만든 쟈스네, 열대과일로 만든 열대과일퓨레가 잘 어우러져 깊고 부드러운 맛이 살아 있습니다."
57,https://ottogi.co.kr/product/product_view.asp?page=6&hcode=&mcode=&stxt=&orderby=BEST&idx=389,커다란 유부가 통째로 들어간 가쓰오부시의 진한 국물맛
58,https://ottogi.co.kr/product/product_view.asp?page=6&hcode=&mcode=&stxt=&orderby=BEST&idx=2168,"<종로>의 맛을 한 그릇에 담다- 사골과 도가니, 우건을 푹 고아 깊고 진한 쇠고기 국물 맛을 살렸습니다.- 잡내 없이 부드럽고 쫄깃한 도가니와 우건이 든든한 전통 보양식입니다.- 오뚜기 옛날소면을 삶아 함께 드시면 더욱 특별한 한끼가 완성됩니다.* 도가니탕을 더 맛있게 즐기는 방법- 소면 : 소면(50g)을 삶아 넣고, 기호에 따라 파, 후추를 곁들여 드시면 더욱 풍성하게 즐기실 수 있습니다."
59,https://ottogi.co.kr/product/product_view.asp?page=6&hcode=&mcode=&stxt=&orderby=BEST&idx=402,"1. 오뚜기 케챂은 진한 케챂으로 우리 입맛에 맞는 우리의 자랑 대한민국 대표 케챂입니다.2. 새콤 달콤한 오뚜기 케챂은 빨갛게 잘 익은 신선한 토마토만을 사용하여 만들어 깊고 진한 맛을 더했습니다.3. 오뚜기 토마토 케챂의 붉은색은 토마토에 들어 있는 라이코펜(lycopene) 성분입니다.4. 샐러드, 볶음밥, 계란후라이, 튀김류 등 어느 음식과도 잘 어울립니다."
60,https://ottogi.co.kr/product/product_view.asp?page=7&hcode=&mcode=&stxt=&orderby=BEST&idx=1831,액상 치즈소스를 적용하여 부드럽고 진한 치즈 본연의 맛과 풍미가 살아있습니다. 쫄깃하고 찰진 면에 리얼 치즈소스를 후첨하여 맛있는 치즈라면을 즐기세요.
61,https://ottogi.co.kr/product/product_view.asp?page=7&hcode=&mcode=&stxt=&orderby=BEST&idx=1824,"▶ 3일간 정성껏 숙성시킨 소스와 은은한 향이 잘 조화된 숙성 카레분을 이용한 카레▶ 더욱 깊고 진한 풍미, 부드럽고 조화로운 맛을 위해 오랜 연구 끝에 찾아낸 3일 숙성의 비법 ▶ 약 20여종의 향신료와 허브를 넣고, 한달 이상 숙성한 프리미엄 순카레분 개발 및 사용▶ 깊고 부드러운 맛을 위해 쇠고기, 과일 등을 3일 숙성 과정을 거친 특제 숙성 소스를 활용▶ 고형카레는 국내 최초 낱개 분리형 트레이 적용으로 1인분씩 간편하게 사용할 수 있습니다."
62,https://ottogi.co.kr/product/product_view.asp?page=7&hcode=&mcode=&stxt=&orderby=BEST&idx=1850,오감이 만족하는 맛있는 안주 한 접시 오감포차직화로 구워 불맛이 살아있는 맛있는 닭발!
63,https://ottogi.co.kr/product/product_view.asp?page=7&hcode=&mcode=&stxt=&orderby=BEST&idx=2291,"20% 증량UP으로 더 푸짐해진 오뚜기 육개장!이제는 속이 꽉 찬 오뚜기 육개장으로 든든하게!마침내 탄생한 완벽한 비법 양념으로, 더욱 진하고 구수해진 국물까지!"
64,https://ottogi.co.kr/product/product_view.asp?page=7&hcode=&mcode=&stxt=&orderby=BEST&idx=1958,"- 20% UP! 밥을 더 담아 든든한 오뚜기 컵밥 (자사 기존 컵밥제품 대비)- 입 안에서 톡톡 터지는 새콤, 달콤, 고소한 맛!- 더 길어진 스푼으로 편리하게 드세요."
